title,poster,director,writers,cast,genre,runtime,description
The Invisible Man (2020) ,"https://m.media-amazon.com/images/M/MV5BZjFhM2I4ZDYtZWMwNC00NTYzLWE3MDgtNjgxYmM3ZWMxYmVmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Leigh Whannell'],['Leigh Whannell'],"[['Elisabeth Moss', 'https://m.media-amazon.com/images/M/MV5BNTMwMDg1MDkyNV5BMl5BanBnXkFtZTcwNzEwMzg1Nw@@._V1_UY317_CR131,0,214,317_AL_.jpg'], ['Oliver Jackson-Cohen', 'https://m.media-amazon.com/images/M/MV5BMTg3OTI0NDA2MF5BMl5BanBnXkFtZTcwNDAyMDYzNw@@._V1_UY317_CR5,0,214,317_AL_.jpg'], ['Harriet Dyer', 'https://m.media-amazon.com/images/M/MV5BZjhlZTFiZDAtMWVlMi00MzYxLWI1ZjItOThiNzkyMjZlYTEwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR105,0,214,317_AL_.jpg']]","['Horror', 'Mystery', 'Sci-Fi']",2h 4min,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."
Knives Out (2019) ,"https://m.media-amazon.com/images/M/MV5BMGUwZjliMTAtNzAxZi00MWNiLWE2NzgtZGUxMGQxZjhhNDRiXkEyXkFqcGdeQXVyNjU1NzU3MzE@._V1_UX182_CR0,0,182,268_AL_.jpg",['Rian Johnson'],['Rian Johnson'],"[['Daniel Craig', 'https://m.media-amazon.com/images/M/MV5BMjEzMjk4NDU4MF5BMl5BanBnXkFtZTcwMDMyNjQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Chris Evans', 'https://m.media-amazon.com/images/M/MV5BMTU2NTg1OTQzMF5BMl5BanBnXkFtZTcwNjIyMjkyMg@@._V1_UY317_CR6,0,214,317_AL_.jpg'], ['Ana de Armas', 'https://m.media-amazon.com/images/M/MV5BMjA3NjYzMzE1MV5BMl5BanBnXkFtZTgwNTA4NDY4OTE@._V1_UX214_CR0,0,214,317_AL_.jpg']]","['Comedy', 'Crime', 'Drama']",2h 11min,"A detective investigates the death of a patriarch of an eccentric, combative family."
Gisaengchung (2019) ,"https://m.media-amazon.com/images/M/MV5BYWZjMjk3ZTItODQ2ZC00NTY5LWE0ZDYtZTI3MjcwN2Q5NTVkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",['Bong Joon Ho'],['Bong Joon Ho'],"[['Kang-ho Song', 'https://m.media-amazon.com/images/M/MV5BYjYyYzcyZTAtY2I4Yy00NGE2LThiNzYtYmVjNGIyNWU2YjVkXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Sun-kyun Lee', 'https://m.media-amazon.com/images/M/MV5BZWNhYTI0OTctODExYi00MDAyLWI3ZmEtNGYwMmJiMjhhOGU4XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Yeo-jeong Jo', 'https://m.media-amazon.com/images/M/MV5BYzI3YWY1MjQtZDhmMC00MWFlLTk3NWYtMzU3MDYxNTcxZmUwXkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UY317_CR20,0,214,317_AL_.jpg']]","['Comedy', 'Drama', 'Thriller']",2h 12min,"A poor family, the Kims, con their way into becoming the servants of a rich family, the Parks. But their easy life gets complicated when their deception is threatened with exposure."
Spenser Confidential (2020) ,"https://m.media-amazon.com/images/M/MV5BMTdkOTEwYjMtNDA1YS00YzVlLTg0NWUtMmQzNDZhYWUxZmIyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Peter Berg'],"[""Sean O'Keefe"", 'Brian Helgeland']","[['Mark Wahlberg', 'https://m.media-amazon.com/images/M/MV5BMTU0MTQ4OTMyMV5BMl5BanBnXkFtZTcwMTQxOTY1NA@@._V1_UY317_CR14,0,214,317_AL_.jpg'], ['Winston Duke', 'https://m.media-amazon.com/images/M/MV5BODgzMTk5MTEyOV5BMl5BanBnXkFtZTgwOTQyNzE2NzM@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Alan Arkin', 'https://m.media-amazon.com/images/M/MV5BMjA4NDk5Njc3MF5BMl5BanBnXkFtZTYwNjc5NDc0._V1_UY317_CR4,0,214,317_AL_.jpg']]","['Action', 'Comedy', 'Crime']",1h 51min,"When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals."
Candyman (2020) ,"https://m.media-amazon.com/images/M/MV5BM2RiMzdmZjYtY2VhZS00YzQ4LWIzNjItYWY5ZTFiNTI0ZGU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",['Nia DaCosta'],"['Jordan Peele', 'Win Rosenfeld']","[['Yahya Abdul-Mateen II', 'https://m.media-amazon.com/images/M/MV5BMzAzZmFmMjAtYTE1Yy00ZWViLWE2YWYtYjUzZWE3MDVlMWIwXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Teyonah Parris', 'https://m.media-amazon.com/images/M/MV5BMjIzNzc4MTg3NF5BMl5BanBnXkFtZTgwMDE4ODM0NTE@._V1_UY317_CR51,0,214,317_AL_.jpg'], ['Nathan Stewart-Jarrett', 'https://m.media-amazon.com/images/M/MV5BNjZjMzJkOTMtZjc5NC00OWU4LTgzNmUtZjhhY2JjNzRkMDhmXkEyXkFqcGdeQXVyMjE4OTcyMzI@._V1_UY317_CR51,0,214,317_AL_.jpg']]","['Horror', 'Thriller']",---,"A ""spiritual sequel"" to the 1992 horror film 'Candyman' that returns to the now-gentrified Chicago neighborhood where the legend began."
Onward (2020) ,"https://m.media-amazon.com/images/M/MV5BMTZlYzk3NzQtMmViYS00YWZmLTk5ZTEtNWE0NGVjM2MzYWU1XkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",['Dan Scanlon'],"['Dan Scanlon', 'Keith Bunin']","[['Tom Holland', 'https://m.media-amazon.com/images/M/MV5BNTAzMzA3NjQwOF5BMl5BanBnXkFtZTgwMDUzODQ5MTI@._V1_UY317_CR23,0,214,317_AL_.jpg'], ['Chris Pratt', 'https://m.media-amazon.com/images/M/MV5BNzg3MTgwOTgzMV5BMl5BanBnXkFtZTgwODIxMTUwMjE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Julia Louis-Dreyfus', 'https://m.media-amazon.com/images/M/MV5BMTYzMDM2MTg2Nl5BMl5BanBnXkFtZTcwODQ0OTA1Mg@@._V1_UY317_CR7,0,214,317_AL_.jpg']]","['Animation', 'Adventure', 'Comedy']",1h 42min,"Set in a suburban fantasy world, two teenage elf brothers embark on a quest to discover if there is still magic out there."
Sonic the Hedgehog (2020) ,"https://m.media-amazon.com/images/M/MV5BNDc1ZTlmOWUtNDY2YS00OGU5LTg2MTYtYTk2MmQzMGE2NzUwXkEyXkFqcGdeQXVyODkzNTgxMDg@._V1_UX182_CR0,0,182,268_AL_.jpg",['Jeff Fowler'],"['Patrick Casey', 'Josh Miller']","[['Ben Schwartz', 'https://m.media-amazon.com/images/M/MV5BMjA1MjAxMzk1NF5BMl5BanBnXkFtZTgwNjU1NjgyODE@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['James Marsden', 'https://m.media-amazon.com/images/M/MV5BMTQyOTUzNjc0MF5BMl5BanBnXkFtZTcwNTYyMDYzMw@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Jim Carrey', 'https://m.media-amazon.com/images/M/MV5BMTQwMjAwNzI0M15BMl5BanBnXkFtZTcwOTY1MTMyOQ@@._V1_UY317_CR22,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Comedy']",1h 39min,"After discovering a small, blue, fast hedgehog, a small-town police officer must help it defeat an evil genius who wants to do experiments on it."
Guns Akimbo (2019) ,"https://m.media-amazon.com/images/M/MV5BNzU3ZTI1OTktNjVkNy00OWEzLWIyNzAtMWQ5YjRkZDU1ZjAxXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_UX182_CR0,0,182,268_AL_.jpg",['Jason Lei Howden'],['Jason Lei Howden'],"[['Samara Weaving', 'https://m.media-amazon.com/images/M/MV5BMTU1Njc2NTc3OV5BMl5BanBnXkFtZTgwMzUyNjU5NDM@._V1_UY317_CR131,0,214,317_AL_.jpg'], ['Daniel Radcliffe', 'https://m.media-amazon.com/images/M/MV5BMTg4NTExODc3Nl5BMl5BanBnXkFtZTgwODUyMDEzMDE@._V1_UY317_CR11,0,214,317_AL_.jpg'], ['Natasha Liu Bordizzo', 'https://m.media-amazon.com/images/M/MV5BNzcwMmVmZTItYmVmYS00OWIxLWIxNWQtNjcyMGJlZDhiNmZkXkEyXkFqcGdeQXVyNTU1NjIzMDc@._V1_UY317_CR14,0,214,317_AL_.jpg']]","['Action', 'Comedy']",1h 35min,A guy relies on his newly-acquired gladiator skills to save his ex-girlfriend from kidnappers.
Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020) ,"https://m.media-amazon.com/images/M/MV5BMzQ3NTQxMjItODBjYi00YzUzLWE1NzQtZTBlY2Y2NjZlNzkyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",['Cathy Yan'],"['Christina Hodson', 'Paul Dini']","[['Margot Robbie', 'https://m.media-amazon.com/images/M/MV5BMTgxNDcwMzU2Nl5BMl5BanBnXkFtZTcwNDc4NzkzOQ@@._V1_UY317_CR12,0,214,317_AL_.jpg'], ['Rosie Perez', 'https://m.media-amazon.com/images/M/MV5BODE2ODY5MjU0NV5BMl5BanBnXkFtZTcwMjE3MzQzMg@@._V1_UX214_CR0,0,214,317_AL_.jpg'], ['Mary Elizabeth Winstead', 'https://m.media-amazon.com/images/M/MV5BNjE3MTU2NjU0OF5BMl5BanBnXkFtZTgwNjgwNzgwNzE@._V1_UY317_CR6,0,214,317_AL_.jpg']]","['Action', 'Adventure', 'Crime']",1h 49min,"After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord."
Jojo Rabbit (2019) ,"https://m.media-amazon.com/images/M/MV5BZjU0Yzk2MzEtMjAzYy00MzY0LTg2YmItM2RkNzdkY2ZhN2JkXkEyXkFqcGdeQXVyNDg4NjY5OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",['Taika Waititi'],"['Taika Waititi', 'Christine Leunens']","[['Roman Griffin Davis', 'https://m.media-amazon.com/images/M/MV5BMGEzZmM5MDgtZjliYi00ODgyLTkzMzMtYTdjNzU1OTcyNTkxXkEyXkFqcGdeQXVyODk0NTg3MDk@._V1_UY317_CR130,0,214,317_AL_.jpg'], ['Thomasin McKenzie', 'https://m.media-amazon.com/images/M/MV5BOWRlYTk0YjAtMDNkNy00ZDlmLTk4NzktOWJiYWFmNzcyY2Y0XkEyXkFqcGdeQXVyOTE0NjgwMjY@._V1_UY317_CR2,0,214,317_AL_.jpg'], ['Scarlett Johansson', 'https://m.media-amazon.com/images/M/MV5BMTM3OTUwMDYwNl5BMl5BanBnXkFtZTcwNTUyNzc3Nw@@._V1_UY317_CR23,0,214,317_AL_.jpg']]","['Comedy', 'Drama', 'War']",1h 48min,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.
